Time,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total
2022-02-07 13:00:00,148733527.89,800289661.14,949023189.03,120071234.25,626428719.11,746499953.36,298970978.3,7131754998.81,7430725977.11
2022-02-07 14:00:00,119349426.55,572355515.82,691704942.37,98431886.64,438669985.41,537102314.95,246837511.83,7240126184.39,7486963696.22
2022-02-07 15:00:00,110570466.96,530887807.8,641458274.76,88759216.8,410778397.44,499537614.24,231961307.04,7169731357.68,7401692664.72
2022-02-07 16:00:00,100662047.17,417379843.72,518041890.89,81754732.93,312928837.8,394683570.73,217258180.5,6993257313.03,7210515493.53
2022-02-07 17:00:00,96928173.95,249258052.27,346185785.18,77640891.9,175904546.18,253545438.08,204582530.68,5322375560.75,5526958091.43
2022-02-07 18:00:00,98537402.64,325278958.45,423816361.09,77802081.8,238608168.3,316410250.09,207168553.32,6744861481.91,6952029596.62
2022-02-07 19:00:00,146153978.74,485760651.69,631914630.42,119007774.17,350063860,469071634.17,294324964.01,6761832719.34,7056157683.35
2022-02-07 20:00:00,101961045.51,257205193.18,359166238.69,83938904.06,198469251.54,282408155.6,219980857.62,6819391598.55,7039372456.17
2022-02-07 21:00:00,102149356.85,285404769.86,387554126.71,84578372.34,218346350.91,302924723.25,218517921.07,7076864576.63,7295382497.7
2022-02-07 22:00:00,105065980.65,337129619.66,442195158.09,84771384.7,254237208.61,339008593.32,216844350.36,6998907130.18,7215751480.55
2022-02-07 23:00:00,156956757.06,444141046.5,601097803.55,130864798.95,318025770.84,448890569.79,316194795.19,6595790236.59,6911985031.78
2022-02-08 00:00:00,133623682.63,748926620.41,882550303.04,106024841.32,554109314.92,660134156.24,267718956.06,7646208929.19,7913928334.38
2022-02-08 01:00:00,208731048.21,1308537632.92,1517268681.13,165550710.23,1008954841.52,1174505551.75,404634126.94,8776702657.86,9181336336.41
2022-02-08 02:00:00,130182785.01,408978072.92,539160857.93,106112783.09,323973244.5,430086027.59,260804757.74,3330210055.38,3591014813.12
2022-02-08 03:00:00,225216968.08,979948808.64,1205165776.71,182467671.19,741621269.32,924088500.1,434040106.87,2394536241.6,2828576348.47
2022-02-08 04:00:00,178691721.13,1058358797.26,1237050518.38,145423704.64,805518624.43,950942329.08,349182954.75,2548026110.09,2897209064.84
2022-02-08 05:00:00,106002644.64,558552903.24,664555108.91,84871912.05,418670499.98,503542412.03,210406119.01,1481928209.66,1692334328.67
2022-02-08 06:00:00,111979645.87,366975006.06,478954211.68,91785245.35,267857348.66,359642153.76,226850872.79,1169659502.19,1396509934.73
2022-02-08 07:00:00,135682742.96,734018722.64,869701900.53,107243945.53,561202185.63,668446131.16,267173690.34,1982690171.53,2249864296.79
2022-02-08 08:00:00,97729370.54,569965593.68,667694527.59,74037547.47,427632145.11,501669692.58,195260512.37,1543887664.6,1739148613.6
2022-02-08 09:00:00,91103137.33,494622694.04,585725831.37,68774843.51,349565110.59,418339954.1,182426094.56,1364525065.74,1546951160.3
2022-02-08 10:00:00,120786802.31,831620897.14,952407699.45,91331548.53,626025017.1,717357000.43,237357760.56,2108944255.64,2346302016.2
2022-02-08 11:00:00,103811896.07,677963649.82,781775545.89,77565135.93,493447444.67,571012580.6,208325261.7,2351174800.98,2559500062.68
2022-02-08 12:00:00,114691083.86,785345623.95,900037137.81,89094284.79,580376006.66,669470291.45,233946728.11,6605487366.76,6839434094.87
2022-02-08 13:00:00,84916788.39,364788427.48,449705215.87,65110986.76,267445211.68,332556198.44,177329524.03,6469369401.17,6646698925.2
2022-02-08 14:00:00,89237681.49,416071486.23,505309598.15,67264854.41,316675746.42,383940600.83,182237718.39,7261366179.44,7443603897.83
2022-02-08 15:00:00,141428025.76,859238657.48,1000666683.24,101007802.78,649193591.53,750200951.25,274299357.35,8263833088.88,8538132446.23
2022-02-08 16:00:00,92045793.1,543985421.52,636030772.24,69266263.11,417803733.23,487069996.34,192052234.09,7479232413.38,7671284205.08
2022-02-08 17:00:00,92450788.88,239953865.44,332404654.31,72662402.88,175013339.93,247675301.68,193087076.56,6677806764.53,6870893399.96
