time,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume,high,low,open,close,volumefrom,volumeto
2022-12-19 20:00:00,26910488.33,666631050.88,693541539.21,15471860.71,526415241.15,541887101.86,907838645.64,708218390.02,1616057035.66,60038.55,16581.37,16452.6,16466.82,16576.52,3966.74,65527705.63
2022-12-19 21:00:00,30649576.45,961821672.07,992471248.52,15240864.42,757174637.0,772415668.6,1085205049.99,1028789527.11,2113994577.11,74819.67,16793.54,16551.33,16576.52,16717.89,5317.55,88732189.39
2022-12-19 22:00:00,26416068.02,793858708.37,820274776.39,12735180.72,619181770.85,631916951.57,942641514.25,862918533.72,1805560047.96,60365.62,16787.0,16680.46,16717.89,16723.37,4812.98,80457395.46
2022-12-19 23:00:00,29684897.69,822015109.18,851700006.87,16509279.34,633520526.04,650029805.38,908459061.4,869006765.36,1777465994.69,68561.83,16851.61,16693.31,16723.37,16792.57,5159.89,86544710.67
2022-12-20 00:00:00,21922298.11,496106083.34,518028381.45,10771372.13,318780575.48,329551947.62,1030888216.55,522578495.09,1553466711.64,43396.21,16808.55,16758.61,16792.57,16786.99,2326.92,39046382.01
2022-12-20 01:00:00,20369017.07,464836175.69,485205192.76,11361155.79,319142654.27,330503810.06,542840457.09,528495981.67,1071336607.08,38945.12,16835.16,16757.36,16786.99,16832.09,2516.94,42273525.07
2022-12-20 02:00:00,22019910.69,406404089.32,428424000.01,11959090.88,276088797.63,288047888.5,977974564.22,477037685.11,1455012081.29,34441.94,16838.78,16784.74,16832.09,16803.32,1830.68,30768214.66
2022-12-20 03:00:00,22582551.82,466678871.91,489261423.74,11757052.5,331905148.79,343662201.29,1010288525.09,534074734.4,1544363259.48,38632.47,16834.21,16772.97,16803.32,16824.15,2048.28,34415759.35
2022-12-20 04:00:00,21960635.81,458846911.65,480807547.47,10807743.03,307979823.39,318787566.42,1238903490.25,539152312.51,1778055802.76,37860.34,16849.59,16805.02,16824.15,16811.97,2033.86,34220020.78
2022-12-20 05:00:00,23594288.63,447229305.47,470823761.9,10974165.78,295044809.81,306018975.59,1318132557.54,528285769.21,1846418326.75,35868.7,16827.58,16777.07,16811.97,16780.07,1933.69,32481940.31
2022-12-20 06:00:00,27559113.01,438956137.73,466515250.74,15175167.48,298819477.31,313994476.64,1128459923.35,498534097.45,1626994020.8,40762.46,16827.5,16771.35,16780.07,16814.59,1629.75,27397324.14
2022-12-20 07:00:00,21398221.57,388869970.62,410268192.2,11141777.51,265620722.62,276762500.13,1278777268.12,423463748.15,1702241016.27,36323.61,16849.23,16805.02,16814.59,16821.84,1640.21,27598917.8
2022-12-20 08:00:00,20436954.09,400857693.99,421294648.09,10064709.03,266630220.98,276694762.04,1132967984.4,429227599.91,1562195584.31,33913.24,16828.25,16787.52,16821.84,16796.07,1725.37,29004386.66
2022-12-20 09:00:00,30068058.59,890437467.68,920505526.26,17119439.38,707386627.1,724506066.48,1249591220.63,990548482.91,2240139872.66,74289.51,16938.58,16737.16,16796.07,16911.93,5946.84,100028618.42
2022-12-20 10:00:00,38014582.26,1105864817.11,1143879399.37,22456415.53,897978382.86,920434967.64,1026278973.11,1169031546.08,2195310688.43,91628.85,17028.68,16907.8,16911.93,16924.48,9444.78,160231578.24
2022-12-20 11:00:00,27226620.1,732759342.72,759985962.82,15513366.79,548305386.28,563818921.58,1289128343.34,787858797.68,2076987141.02,59212.0,16933.15,16785.71,16924.48,16850.45,5542.51,93366834.01
2022-12-20 12:00:00,23159058.97,452462696.74,475621755.71,11852027.58,309607945.96,321459973.54,1218564226.1,482567472.33,1701131698.43,35764.71,16855.66,16791.5,16850.45,16815.68,2653.93,44631041.71
2022-12-20 13:00:00,20555484.35,449678667.44,470234151.79,9728459.87,315872688.85,325601148.72,1281014578.61,474561054.98,1755575465.2,34065.34,16858.04,16777.73,16815.68,16838.82,2844.93,47848276.02
2022-12-20 14:00:00,20927595.21,466108061.93,487035657.14,11852544.6,317557498.78,329409874.42,1300482867.13,494016647.26,1794499514.39,33606.88,16902.25,16836.67,16838.82,16895.76,3019.96,50962955.24
2022-12-20 15:00:00,21053906.28,468011943.71,489065850.0,9849758.04,323416376.27,333266302.89,1247771839.81,491937818.06,1739709657.87,34386.41,16921.87,16848.65,16895.76,16858.23,3480.42,58784080.85
2022-12-20 16:00:00,18103632.91,378923561.45,397027194.37,7438378.23,239552314.05,246990692.27,1205122117.14,399742849.04,1604865135.01,28162.53,16891.38,16841.67,16858.23,16883.15,2009.6,33891550.62
2022-12-20 17:00:00,18843847.0,384104173.84,402948020.84,9247066.99,241848573.39,251095640.38,1160382744.28,411715982.66,1572098726.94,26220.3,16904.59,16859.96,16883.15,16869.9,1671.23,28211776.71
2022-12-20 18:00:00,19345190.96,371818386.59,391163746.56,8930551.81,233013206.27,241943758.08,1214275501.36,393306977.59,1607582478.95,29130.13,16923.38,16869.38,16869.9,16901.12,1899.06,32097883.75
2022-12-20 19:00:00,24097204.86,461085255.8,485182292.2,12156328.89,321444978.26,333601307.15,1110709505.87,489448731.73,1600158237.59,40583.51,16922.92,16823.78,16901.12,16845.42,2787.22,47025899.44
2022-12-20 20:00:00,18968527.05,369958895.39,388927422.44,9107004.89,230403057.29,239510062.18,1181720798.37,391463734.01,1573184532.38,27990.78,16876.13,16833.68,16845.42,16868.26,1685.54,28412688.67
2022-12-20 21:00:00,20366101.59,311791237.04,332157338.63,9618659.71,181174509.02,190793337.23,977175384.43,327386763.79,1304562148.22,25497.19,16878.08,16845.93,16868.26,16850.01,1021.02,17215446.23
2022-12-20 22:00:00,21020702.92,341059258.9,362079793.43,9978178.57,228144480.14,238122490.32,1068350760.26,360524949.43,1428875709.69,32509.56,16851.86,16808.1,16850.01,16838.25,1658.66,27911321.86
2022-12-20 23:00:00,24488256.92,359787093.16,384275182.1,12719837.34,231078444.83,243798282.18,1055189489.91,377944995.24,1433134485.15,34103.79,16839.31,16795.37,16838.25,16797.63,1730.79,29095958.87
2022-12-21 00:00:00,21429889.84,355800614.09,377230503.94,11634196.07,241052886.22,252687082.29,1035702702.49,372037883.9,1407740586.39,34062.11,16843.46,16780.75,16797.63,16834.56,1743.07,29309669.62
2022-12-21 01:00:00,18980031.7,283096607.45,302076470.77,8916496.2,175141215.37,184057543.18,1047335620.94,299910028.07,1347245817.4,25138.93,16852.52,16824.05,16834.56,16838.51,839.8,14142840.19
2022-12-21 02:00:00,17752698.63,273620775.79,291373642.62,8101304.45,166336435.14,174437907.79,1180004796.27,296260394.68,1476265190.94,26239.82,16848.45,16818.81,16838.51,16819.55,959.43,16150149.96
2022-12-21 03:00:00,23664783.95,447721204.34,471385988.3,12585946.54,310332590.3,322918705.49,870123279.01,502942687.78,1373065966.79,42671.82,16885.44,16802.2,16819.55,16865.59,1796.05,30243591.99
2022-12-21 04:00:00,19199892.65,329468970.05,348668862.7,9561139.57,214143576.58,223704716.15,910623841.53,381388520.88,1292012362.4,27973.99,16882.28,16852.02,16865.59,16872.5,1183.74,19967410.26
