time,high,low,open,close,volumefrom,volumeto
2023-05-26 00:00:00,26457.57,26418.32,26440.79,26434.94,205.89,5443270.33
2023-05-26 01:00:00,26438.99,26347.54,26434.94,26355.8,336.49,8879556.92
2023-05-26 02:00:00,26444.27,26338.96,26355.8,26440.12,316.7,8357626.15
2023-05-26 03:00:00,26534.65,26419.6,26440.12,26508.68,1136.36,30087622.65
2023-05-26 04:00:00,26548.9,26473.33,26508.68,26477.69,502.01,13306725.42
2023-05-26 05:00:00,26481.49,26434.77,26477.69,26451.36,345.83,9149471.63
2023-05-26 06:00:00,26491.81,26428.9,26451.36,26457.67,250.68,6632557.86
2023-05-26 07:00:00,26504.51,26433.15,26457.67,26469.63,363.46,9617593.16
2023-05-26 08:00:00,26515.34,26366.34,26469.63,26446.24,879.81,23265630.32
2023-05-26 09:00:00,26597.9,26444.75,26446.24,26546.31,1235.31,32786823.81
2023-05-26 10:00:00,26940.67,26546.31,26546.31,26778.26,5661.02,151523186.57
2023-05-26 11:00:00,26853.6,26758.39,26778.26,26764.12,1718.1,46064882.42
2023-05-26 12:00:00,26839.74,26758.75,26764.12,26806.28,754.13,20216952.37
2023-05-26 13:00:00,26849.51,26696.91,26806.28,26727.21,876.48,23460878.3
2023-05-26 14:00:00,26762.62,26626.91,26727.21,26742.45,959.52,25618186.09
2023-05-26 15:00:00,26830.09,26742.41,26742.45,26778.71,1097.29,29394668.7
2023-05-26 16:00:00,26817.89,26753.74,26778.71,26761.73,574.68,15390002.92
2023-05-26 17:00:00,26793.58,26738,26761.73,26738.68,398.68,10669176.06
2023-05-26 18:00:00,26767.48,26700.15,26738.68,26701.85,360.27,9634656.7
2023-05-26 19:00:00,26742.34,26701.65,26701.85,26719.7,273.91,7320116.43
2023-05-26 20:00:00,26730.02,26644.92,26719.7,26665.58,620.41,16553496.34
2023-05-26 21:00:00,26725.66,26660.5,26665.58,26725.66,321.27,8575269.81
2023-05-26 22:00:00,26754.93,26700.1,26725.66,26753.82,249.42,6665287.22
2023-05-26 23:00:00,26786.48,26724.45,26753.82,26764.46,235.63,6304926.01
2023-05-27 00:00:00,26798.72,26738.96,26764.46,26769.96,230.11,6160408.1
2023-05-27 01:00:00,26777.9,26736.47,26769.96,26742.12,141,3772678.14
2023-05-27 02:00:00,26766.24,26720.95,26742.12,26759.2,252.67,6755456.64
2023-05-27 03:00:00,26759.67,26721.45,26759.2,26736.12,113,3021009.2
2023-05-27 04:00:00,26736.16,26689.11,26736.12,26702.38,168.44,4498334.41
2023-05-27 05:00:00,26741.83,26694.68,26702.38,26714.21,156.83,4189883.94
2023-05-27 06:00:00,26726.25,26682.94,26714.21,26690.01,188.72,5040018.76
2023-05-27 07:00:00,26721.74,26679.5,26690.01,26707.62,150.71,4024106.78
2023-05-27 08:00:00,26750.36,26691.41,26707.62,26722.44,160.19,4281905.25
2023-05-27 09:00:00,26786.75,26585.34,26722.44,26640.63,683.73,18251357.49
2023-05-27 10:00:00,26733.32,26626.78,26640.63,26683.17,462.98,12353292.92
2023-05-27 11:00:00,26704.48,26654.14,26683.17,26703.13,255.75,6823241.9
2023-05-27 12:00:00,26706.44,26636.66,26703.13,26678.75,302.58,8072253.92
2023-05-27 13:00:00,26773.84,26677.04,26678.75,26770.01,419.1,11200159.08
2023-05-27 14:00:00,26840.73,26718.32,26770.01,26718.32,595.86,15960187.54
2023-05-27 15:00:00,26779.07,26718.28,26718.32,26747.46,237.82,6362329.29
2023-05-27 16:00:00,26765.9,26743.02,26747.46,26764.57,174.42,4666192.44
2023-05-27 17:00:00,26791.21,26754.51,26764.57,26785.17,314.73,8427131.91
2023-05-27 18:00:00,26845.26,26779.75,26785.17,26819.08,354.16,9496875.11
2023-05-27 19:00:00,26902.14,26819.08,26819.08,26872.59,638.22,17149995.43
2023-05-27 20:00:00,27115.05,26789.58,26872.59,27087.95,1941.13,52373196.98
2023-05-27 21:00:00,27183.89,27086.1,27087.95,27111.39,1373.75,37270672.8
2023-05-27 22:00:00,27135.27,27084.98,27111.39,27112.29,286.81,7775967.25
2023-05-27 23:00:00,27241.68,27112.24,27112.29,27195.16,747.6,20329027.1
2023-05-28 00:00:00,27292.57,27177.9,27195.16,27179.55,671.31,18295626.54
